# host=omarchy-power9 kernel=7.2.6-64k date=2026-09-16T19:35:40-06:00 cpu=88 node=0 runs=5 reps=3
# emulator=/home/jbettcher/Development/POWERarm-wt/bench/build-bench/Bin/POWERarm commit=41e9380c03cf42999429a49c9f95ff3e570e201d
# smt: on load: 2.48 7.40 8.35 2/2576 4001626
# cpufreq cpu88 before: governor=ondemand cur=2333000 max=3800000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity,node_busy_pct
power9,powerarm,vm,1,2,150000,3312691904,9961871049,0000814e78cfc084,,1
power9,powerarm,vm,1,summary,150000,9926156456,9961871049,0000814e78cfc084,ok,1
power9,powerarm-startup,vm,1,0,1,448379,31787746,000000003850006f,,2
power9,powerarm-startup,vm,1,summary,1,448379,31787746,000000003850006f,ok,2
power9,native-power9-startup,vm,1,0,1,4463,6348183,000000003850006f,,1
power9,native-power9-startup,vm,1,summary,1,4463,6348183,000000003850006f,ok,1
power9,native-power8,sort,1,0,2500000,349416737,1065572871,f05bf4351ec0e785,,2
power9,native-power8,sort,1,1,2500000,349007919,1065572871,f05bf4351ec0e785,,2
power9,native-power8,sort,1,2,2500000,349139417,1065572871,f05bf4351ec0e785,,2
power9,native-power8,sort,1,summary,2500000,1047564073,1065572871,f05bf4351ec0e785,ok,2
power9,native-power9,sort,1,0,2500000,348084731,1059508896,f05bf4351ec0e785,,2
power9,native-power9,sort,1,1,2500000,347643760,1059508896,f05bf4351ec0e785,,2
power9,native-power9,sort,1,2,2500000,347382231,1059508896,f05bf4351ec0e785,,2
power9,native-power9,sort,1,summary,2500000,1043110722,1059508896,f05bf4351ec0e785,ok,2
power9,powerarm,sort,1,0,2500000,1063483229,3265573034,f05bf4351ec0e785,,1
power9,powerarm,sort,1,1,2500000,1061898449,3265573034,f05bf4351ec0e785,,1
power9,powerarm,sort,1,2,2500000,1061904432,3265573034,f05bf4351ec0e785,,1
power9,powerarm,sort,1,summary,2500000,3187286110,3265573034,f05bf4351ec0e785,ok,1
power9,powerarm-startup,sort,1,0,1,234740,33894168,83b3e216f6caa906,,1
power9,powerarm-startup,sort,1,summary,1,234740,33894168,83b3e216f6caa906,ok,1
power9,native-power9-startup,sort,1,0,1,132961,6562274,83b3e216f6caa906,,1
power9,native-power9-startup,sort,1,summary,1,132961,6562274,83b3e216f6caa906,ok,1
power9,native-power8,crc32,2,0,64,177833830,548241883,323d083d79762f78,,1
power9,native-power8,crc32,2,1,64,177843060,548241883,323d083d79762f78,,1
power9,native-power8,crc32,2,2,64,177819457,548241883,323d083d79762f78,,1
power9,native-power8,crc32,2,summary,64,533496347,548241883,323d083d79762f78,ok,1
power9,native-power9,crc32,2,0,64,178188110,544600585,323d083d79762f78,,1
power9,native-power9,crc32,2,1,64,178077882,544600585,323d083d79762f78,,1
power9,native-power9,crc32,2,2,64,178037442,544600585,323d083d79762f78,,1
power9,native-power9,crc32,2,summary,64,534303434,544600585,323d083d79762f78,ok,1
power9,powerarm,crc32,2,0,64,1449792516,4406601163,323d083d79762f78,,1
power9,powerarm,crc32,2,1,64,1450209310,4406601163,323d083d79762f78,,1
power9,powerarm,crc32,2,2,64,1453146546,4406601163,323d083d79762f78,,1
power9,powerarm,crc32,2,summary,64,4353148372,4406601163,323d083d79762f78,ok,1
power9,powerarm-startup,crc32,2,0,1,22727929,78534529,00000000c4994742,,1
power9,powerarm-startup,crc32,2,summary,1,22727929,78534529,00000000c4994742,ok,1
power9,native-power9-startup,crc32,2,0,1,2783708,12120909,00000000c4994742,,1
power9,native-power9-startup,crc32,2,summary,1,2783708,12120909,00000000c4994742,ok,1
power9,native-power8,sha256,2,0,48,357117412,1085599820,4238e6322fef7301,,1
power9,native-power8,sha256,2,1,48,357127579,1085599820,4238e6322fef7301,,1
power9,native-power8,sha256,2,2,48,357180721,1085599820,4238e6322fef7301,,1
power9,native-power8,sha256,2,summary,48,1071425712,1085599820,4238e6322fef7301,ok,1
power9,native-power9,sha256,2,0,48,361978452,1096270431,4238e6322fef7301,,1
power9,native-power9,sha256,2,1,48,361955950,1096270431,4238e6322fef7301,,1
power9,native-power9,sha256,2,2,48,362014801,1096270431,4238e6322fef7301,,1
power9,native-power9,sha256,2,summary,48,1085949203,1096270431,4238e6322fef7301,ok,1
power9,powerarm,sha256,2,0,48,1484302576,4536437241,4238e6322fef7301,,1
power9,powerarm,sha256,2,1,48,1484116350,4536437241,4238e6322fef7301,,1
power9,powerarm,sha256,2,2,48,1483582708,4536437241,4238e6322fef7301,,1
power9,powerarm,sha256,2,summary,48,4452001634,4536437241,4238e6322fef7301,ok,1
power9,powerarm-startup,sha256,2,0,1,31443080,83315000,7169e8403478a163,,1
power9,powerarm-startup,sha256,2,summary,1,31443080,83315000,7169e8403478a163,ok,1
power9,native-power9-startup,sha256,2,0,1,7541524,18110183,7169e8403478a163,,1
power9,native-power9-startup,sha256,2,summary,1,7541524,18110183,7169e8403478a163,ok,1
power9,native-power8,bst,2,0,400000,137530219,421415256,0ded589ff2a3247b,,1
power9,native-power8,bst,2,1,400000,136689960,421415256,0ded589ff2a3247b,,1
power9,native-power8,bst,2,2,400000,136765492,421415256,0ded589ff2a3247b,,1
power9,native-power8,bst,2,summary,400000,410985671,421415256,0ded589ff2a3247b,ok,1
power9,native-power9,bst,2,0,400000,139284254,422081362,0ded589ff2a3247b,,1
power9,native-power9,bst,2,1,400000,136434668,422081362,0ded589ff2a3247b,,1
power9,native-power9,bst,2,2,400000,136748055,422081362,0ded589ff2a3247b,,1
power9,native-power9,bst,2,summary,400000,412466977,422081362,0ded589ff2a3247b,ok,1
power9,powerarm,bst,2,0,400000,541326529,1658489886,0ded589ff2a3247b,,1
power9,powerarm,bst,2,1,400000,540774748,1658489886,0ded589ff2a3247b,,1
power9,powerarm,bst,2,2,400000,539672987,1658489886,0ded589ff2a3247b,,1
power9,powerarm,bst,2,summary,400000,1621774264,1658489886,0ded589ff2a3247b,ok,1
power9,powerarm-startup,bst,2,0,1,257178,31560369,266a770512af4d68,,1
power9,powerarm-startup,bst,2,summary,1,257178,31560369,266a770512af4d68,ok,1
power9,native-power9-startup,bst,2,0,1,10571,8202421,266a770512af4d68,,1
power9,native-power9-startup,bst,2,summary,1,10571,8202421,266a770512af4d68,ok,1
