kernel,ns_per_iter,cycles_per_iter,insns_per_iter,flush_per_iter,mtfpscr_per_iter,brmpred_per_iter,iters
add_xs,6.375,24.00,5.00,0.0002,0.000,0.0001,5000000
add_xs_t,6.432,24.27,17.00,0.0002,0.000,0.0000,5000000
add_xv,6.739,25.40,4.99,0.0002,0.000,0.0001,5000000
add_xv_t,6.512,24.53,16.96,0.0002,0.000,0.0000,5000000
add_xv_jitzero,13.821,51.91,16.99,0.0002,0.000,0.0000,5000000
add_xv_jitzero_t,14.321,53.89,64.95,0.0002,0.000,0.0000,5000000
add_xv_permzero,10.629,39.94,9.00,0.0002,0.000,0.0000,5000000
add_xv_permzero_t,10.979,41.29,32.98,0.0002,0.000,0.0000,5000000
add_pre,7.006,26.28,12.98,0.0002,0.000,0.0000,5000000
add_pre_t,7.487,28.11,48.95,0.0002,0.000,0.0000,5000000
add_post,7.056,26.49,12.99,0.0002,0.000,0.0000,5000000
add_post_t,7.828,29.44,48.94,0.0002,0.000,0.0000,5000000
add_bffix,19.504,73.40,44.98,0.0002,0.000,0.0000,5000000
add_bffix_t,30.424,114.37,176.88,0.0003,0.000,0.0000,5000000
add32_xv,6.754,25.54,4.99,0.0002,0.000,0.0000,5000000
add32_pre,7.070,26.56,28.97,0.0002,0.000,0.0000,5000000
add32_pre_t,14.067,52.95,112.90,0.0002,0.000,0.0000,5000000
add32_post,7.045,26.46,20.97,0.0002,0.000,0.0000,5000000
add32_cr6,6.863,26.04,13.04,0.0002,0.000,0.0000,5000000
div_xs,29.756,112.00,5.01,0.0002,0.000,0.0001,5000000
div_xs_t,46.165,173.67,17.00,0.0003,0.000,0.0001,5000000
div_xv,30.818,115.94,5.01,0.0003,0.000,0.0000,5000000
div_xv_t,51.009,191.95,17.00,0.0003,0.000,0.0000,5000000
div_xv_perm,37.744,141.93,13.00,0.0003,0.000,0.0000,5000000
div32_xv,27.632,103.91,5.01,0.0002,0.000,0.0000,5000000
div32_xv_t,44.630,167.97,17.00,0.0003,0.000,0.0000,5000000
div32_xs,24.435,91.92,5.00,0.0003,0.000,0.0000,5000000
div32_xs_t,36.726,138.24,17.00,0.0003,0.000,0.0000,5000000
sqrt_xs,45.701,171.95,9.00,0.0003,0.000,0.0000,5000000
sqrt_xv,46.650,175.54,9.00,0.0003,0.000,0.0000,5000000
sqrt_xs_t,63.391,238.46,17.00,0.0003,0.000,0.0000,5000000
sqrt_xv_t,70.159,263.79,17.00,0.0003,0.000,0.0001,5000000
sqrt32_xv_t,51.022,191.91,17.00,0.0003,0.000,0.0000,5000000
sqrt32_xs_t,44.246,166.49,17.01,0.0003,0.000,0.0000,5000000
fma_xs,6.346,23.87,5.01,0.0002,0.000,0.0000,5000000
fma_xv,6.782,25.56,5.01,0.0002,0.000,0.0000,5000000
mul_xs,6.386,25.19,5.01,0.0002,0.000,0.0000,5000000
mul_xv,6.420,24.64,4.99,0.0002,0.000,0.0001,5000000
fnmadd_neg_post,6.950,26.48,16.98,0.0002,0.000,0.0000,5000000
fma_copy_post,6.976,26.62,16.99,0.0002,0.000,0.0000,5000000
fma_pre,6.991,26.34,20.96,0.0002,0.000,0.0000,5000000
mul_xs_denorm,12.759,48.15,9.00,0.0002,0.000,0.0001,5000000
mul_xs_normal,12.866,48.47,9.01,0.0002,0.000,0.0000,5000000
add_xs_denorm_t,6.578,24.69,16.99,0.0002,0.000,0.0001,5000000
div_xv_nanlane,30.839,116.00,5.01,0.0003,0.000,0.0000,5000000
div_xv_denlane,30.840,115.92,5.01,0.0003,0.000,0.0000,5000000
mffs,15.155,56.91,5.00,0.0002,32.051,0.0001,5000000
mffs_dep,15.946,59.92,13.00,0.0002,32.048,0.0001,5000000
mtfsf_full,22.596,84.92,5.01,0.0002,64.077,0.0001,5000000
mtfsf_ctrl,22.596,84.92,5.01,0.0003,64.056,0.0000,5000000
mtfsfi_ctrl,19.938,74.93,5.01,0.0003,28.031,0.0000,5000000
mtfsfi_sticky,22.598,84.92,5.00,0.0003,64.082,0.0001,5000000
mtfsb0,6.380,23.94,5.00,0.0002,0.000,0.0001,5000000
mtfsb0_sticky,12.107,45.48,5.00,0.0002,35.988,0.0000,5000000
mffsl,0.806,2.98,4.95,0.0002,0.000,0.0000,5000000
mffscrni,6.380,23.93,5.00,0.0002,0.000,0.0001,5000000
sandwich_p9,16.419,61.72,16.99,0.0002,0.000,0.0000,5000000
sandwich_p9_t,51.299,193.03,48.99,0.0003,0.000,0.0000,5000000
sandwich_p8,39.340,147.91,25.00,0.0003,96.063,0.0001,5000000
sandwich_p8_t,153.372,576.77,80.97,0.0005,384.219,0.0001,5000000
xsrdpic_only,12.787,48.06,9.00,0.0002,0.000,0.0000,5000000
sandwich_shadow,12.923,48.59,24.99,0.0002,0.000,0.0000,5000000
setrm_jit,38.551,144.88,25.00,0.0003,96.068,0.0001,5000000
add4_t_plain,6.435,24.14,16.97,0.0002,0.000,0.0000,5000000
add4_t_mtfsf,43.385,163.07,21.00,0.0003,0.002,0.0001,5000000
add4_t_mtfsfctl,23.398,87.95,21.00,0.0003,64.060,0.0000,5000000
add4_t_mffs,15.944,59.93,21.00,0.0002,32.013,0.0001,5000000
add4_t_mtfsb0,8.559,32.15,20.98,0.0002,0.000,0.0000,5000000
mffs_after_inexact,15.955,59.93,9.00,0.0003,32.068,0.0000,5000000
cvtzs_jit,31.883,119.92,32.99,0.0002,0.000,0.0000,5000000
cvtzs_isel,33.486,125.85,32.99,0.0003,0.000,0.0000,5000000
cvtzs_mask,33.752,126.91,32.99,0.0003,0.000,0.0000,5000000
cvtzs_raw,31.585,118.73,25.00,0.0003,0.000,0.0000,5000000
cvtzs_noperm,24.989,93.99,28.99,0.0003,0.000,0.0000,5000000
cvtzu_raw,31.568,118.67,24.99,0.0003,0.000,0.0000,5000000
cvtns_p8,61.206,230.22,52.98,0.0003,95.978,0.0000,5000000
cvtns_p9,54.612,205.35,44.98,0.0003,0.000,0.0000,5000000
cvtns_fctid,33.457,125.81,32.99,0.0002,0.000,0.0001,5000000
cvtns_shadow,41.709,156.72,52.98,0.0003,0.000,0.0000,5000000
cvtas_xsrdpi,41.087,154.40,36.99,0.0003,0.000,0.0001,5000000
scvtf_jit,27.159,102.08,28.99,0.0003,0.000,0.0000,5000000
scvtf_pinzero,27.105,101.97,25.00,0.0003,0.000,0.0000,5000000
scvtf_w_extsw,22.157,83.31,24.99,0.0002,0.000,0.0001,5000000
scvtf_w_mtvsrwa,20.153,75.85,20.99,0.0003,0.000,0.0000,5000000
scvtf_stack,39.121,147.24,29.00,0.0003,0.000,0.0001,5000000
fcvt_ds_jit,19.162,72.09,28.99,0.0002,0.000,0.0000,5000000
fcvt_ds_min,22.320,84.02,17.00,0.0002,0.000,0.0001,5000000
fwd_cvt2fp_direct,52.017,196.20,12.98,2.0416,0.000,0.0001,5000000
fwd_cvt2fp_gpr,24.696,92.78,21.00,0.0004,0.000,0.0000,5000000
