kernel,ns_per_iter,cycles_per_iter,insns_per_iter,flush_per_iter,mtfpscr_per_iter,brmpred_per_iter,iters
fwd_sp2dp,14.715,59.61,8.95,0.1631,0.000,0.0001,5000000
fwd_spn2dp,17.053,64.12,13.00,0.0002,0.000,0.0000,5000000
fwd_dp2sp,20.209,76.16,13.01,0.0003,0.000,0.0000,5000000
fwd_int2fp_perm,25.207,94.72,17.00,0.0003,0.000,0.0000,5000000
fcmp_jit_p8,10.666,40.09,64.94,0.0002,0.000,0.0001,5000000
fcmp_jit_p9,8.375,31.43,56.92,0.0002,0.000,0.0000,5000000
fcmp_direct,7.311,27.48,24.98,0.0002,0.000,0.0000,5000000
fcmp_direct_noperm,7.158,26.86,16.98,0.0002,0.000,0.0001,5000000
xerlift_only,2.330,8.71,28.89,0.0002,0.000,0.0000,5000000
so_toggle,156.570,588.74,21.00,7.9997,0.000,0.0000,5000000
so_set_only,0.930,3.44,12.86,0.0002,0.000,0.0001,5000000
so_clear_only,1.168,4.34,8.93,0.0002,0.000,0.0000,5000000
fcsel_branch,4.504,16.96,10.49,0.4255,0.000,0.4259,5000000
fcsel_fused,2.351,8.80,7.98,0.0002,0.000,0.0000,5000000
fcsel_mfocrf,2.574,9.64,12.98,0.0002,0.000,0.0000,5000000
fcsel_setb,2.413,9.11,9.99,0.0002,0.000,0.0000,5000000
fcsel_predictable,2.147,8.03,8.99,0.0002,0.000,0.0000,5000000
add_fpr,6.372,24.04,4.99,0.0002,0.000,0.0000,5000000
add_fpr_t,6.434,24.14,16.97,0.0002,0.000,0.0000,5000000
add_vsxlo,6.373,23.95,5.00,0.0002,0.000,0.0001,5000000
add_vsxlo_t,6.434,24.20,16.96,0.0002,0.000,0.0000,5000000
add_vsxhi,6.378,23.99,4.99,0.0002,0.000,0.0001,5000000
add_vsxhi_t,6.438,24.17,16.98,0.0002,0.000,0.0000,5000000
add_cross_halves,12.749,48.07,9.00,0.0002,0.000,0.0001,5000000
mov_hi_lo_lat,4.253,15.94,8.99,0.0002,0.000,0.0001,5000000
mtvsrd_mfvsrd,6.394,23.98,12.99,0.0002,0.000,0.0000,5000000
std_lfd,18.270,68.65,16.99,0.0002,0.000,0.0001,5000000
stfd_ld,18.287,68.84,16.99,0.0019,0.000,0.0000,5000000
stfs_lwz,18.264,68.65,17.00,0.0002,0.000,0.0000,5000000
mtvsrd_xsadd,11.695,43.93,12.99,0.0002,0.000,0.0000,5000000
mtvsrd_xvadd,13.521,50.82,13.00,0.0002,0.000,0.0000,5000000
xxpermdi_lat,3.189,11.97,5.00,0.0002,0.000,0.0000,5000000
xxsldwi_lat,3.190,11.95,5.00,0.0002,0.000,0.0000,5000000
vsldoi_lat,3.190,12.02,5.00,0.0002,0.000,0.0000,5000000
xxlor_lat,2.127,7.99,4.98,0.0002,0.000,0.0000,5000000
perm_add_perm,14.472,54.38,13.00,0.0002,0.000,0.0000,5000000
nop_loop,0.530,1.91,4.89,0.0002,0.000,0.0001,5000000
addi_lat,2.130,7.98,4.99,0.0002,0.000,0.0000,5000000
