# emu=/home/jbettcher/Development/POWERarm-wt/research-pipeline/build-rp/Bin/POWERarm cpu=120 reps=3 date=2026-09-16T21:08:34-06:00 load=6.61 5.71 6.04
vm,powerarm,cycles:u,37392754292,100.00%
vm,powerarm,instructions:u,37517931733,100.00%
vm,powerarm,pm_cmplu_stall:u,22970510810,100.00%
vm,powerarm,pm_cmplu_stall_exec_unit:u,3666393091,100.00%
vm,powerarm,pm_cmplu_stall_other_cmpl:u,27079454705,100.00%
vm,powerarm,pm_cmplu_stall_st_fwd:u,3386185954,100.00%
vm,powerarm,pm_ict_noslot_cyc:u,877214919,49.00%
vm,powerarm,pm_cmplu_stall_fxu:u,3647063501,74.00%
vm,powerarm,pm_disp_held:u,33478717523,50.00%
vm,powerarm,pm_cmplu_stall_fxlong:u,42219,74.00%
vm,powerarm,pm_cmplu_stall_lsu_fin:u,18808,100.00%
vm,powerarm,pm_cmplu_stall_lhs:u,21589177,100.00%
vm,powerarm,pm_flush_mpred:u,172640097,100.00%
vm,powerarm,pm_cmplu_stall_load_finish:u,9498807980,100.00%
vm,powerarm,pm_cmplu_stall_lrq_other:u,6,100.00%
vm,powerarm,pm_cmplu_stall_store_finish:u,5339070840,100.00%
vm,powerarm,pm_cmplu_stall_spec_finish:u,18524,100.00%
vm,powerarm,pm_cmplu_stall_bru:u,103135777,100.00%
vm,powerarm,pm_disp_held_issq_full:u,33047943847,74.00%
vm,powerarm,pm_cmplu_stall_lsu:u,19011173824,25.00%
vm,powerarm,pm_disp_held_hb_full:u,1335477320,50.00%
vm,powerarm,pm_ict_noslot_br_mpred:u,557536786,75.00%
vm,powerarm,pm_1plus_ppc_cmpl:u,6051742832,49.00%
vm,powerarm,pm_cmplu_stall_ntc_flush:u,695,75.00%
vm,powerarm,pm_cmplu_stall_dp:u,65070,50.00%
vm,powerarm,pm_br_mpred_cmpl:u,162594168,74.00%
vm,powerarm,pm_run_cyc:u,37630924683,100.00%
vm,powerarm,pm_cmplu_stall_dcache_miss:u,5178662,100.00%
vm,powerarm,pm_flush_lsu:u,24064271,100.00%
vm,powerarm,pm_ld_miss_l1:u,670560,100.00%
vm,powerarm,pm_cmplu_stall_flush_any_thread:u,556364980,100.00%
vm,powerarm,pm_cmplu_stall_store_data:u,6857477,100.00%
vm,powerarm,pm_lsu_flush_lhl_shl:u,25953681,100.00%
vm,powerarm,pm_lsu_flush_lhs:u,0,100.00%
vm,powerarm,pm_cmplu_stall_any_sync:u,443400,100.00%
vm,powerarm,pm_st_fwd:u,7580304854,100.00%
vm,powerarm,pm_br_pred_ccache:u,949114973,100.00%
vm,powerarm,pm_br_mpred_ccache:u,136549365,100.00%
vm,powerarm,pm_ict_noslot_disp_held_issq:u,6878476,100.00%
vm,powerarm,pm_br_pred_lstack:u,82212,100.00%
vm,powerarm,pm_br_mpred_lstack:u,1411,100.00%
vm,powerarm,pm_ict_noslot_disp_held_hb_full:u,110414,100.00%
vm,native,cycles:u,5148682062,100.00%
vm,native,instructions:u,7938630323,100.00%
vm,native,pm_cmplu_stall:u,2165586550,100.00%
vm,native,pm_cmplu_stall_exec_unit:u,22385151,100.00%
vm,native,pm_cmplu_stall_other_cmpl:u,3595826594,100.00%
vm,native,pm_cmplu_stall_st_fwd:u,107588759,100.00%
vm,native,pm_ict_noslot_cyc:u,117964561,49.00%
vm,native,pm_cmplu_stall_fxu:u,21159892,74.00%
vm,native,pm_disp_held:u,48805591,50.00%
vm,native,pm_cmplu_stall_fxlong:u,834,75.00%
vm,native,pm_cmplu_stall_lsu_fin:u,274,100.00%
vm,native,pm_cmplu_stall_lhs:u,33,100.00%
vm,native,pm_flush_mpred:u,17378694,100.00%
vm,native,pm_cmplu_stall_load_finish:u,1090014531,100.00%
vm,native,pm_cmplu_stall_lrq_other:u,0,100.00%
vm,native,pm_cmplu_stall_store_finish:u,934944435,100.00%
vm,native,pm_cmplu_stall_spec_finish:u,36,100.00%
vm,native,pm_cmplu_stall_bru:u,4201,100.00%
vm,native,pm_disp_held_issq_full:u,956054,75.00%
vm,native,pm_cmplu_stall_lsu:u,2146347559,24.00%
vm,native,pm_disp_held_hb_full:u,14531,49.00%
vm,native,pm_ict_noslot_br_mpred:u,83502527,74.00%
vm,native,pm_1plus_ppc_cmpl:u,1691304387,50.00%
vm,native,pm_cmplu_stall_ntc_flush:u,169,75.00%
vm,native,pm_cmplu_stall_dp:u,81260,49.00%
vm,native,pm_br_mpred_cmpl:u,17416965,74.00%
vm,native,pm_run_cyc:u,5152459366,100.00%
vm,native,pm_cmplu_stall_dcache_miss:u,156568,100.00%
vm,native,pm_flush_lsu:u,5777,100.00%
vm,native,pm_ld_miss_l1:u,11898,100.00%
vm,native,pm_cmplu_stall_flush_any_thread:u,75979356,100.00%
vm,native,pm_cmplu_stall_store_data:u,20825,100.00%
vm,native,pm_lsu_flush_lhl_shl:u,5647,100.00%
vm,native,pm_lsu_flush_lhs:u,0,100.00%
vm,native,pm_cmplu_stall_any_sync:u,141947814,100.00%
vm,native,pm_st_fwd:u,72632009,100.00%
vm,native,pm_br_pred_ccache:u,472,100.00%
vm,native,pm_br_mpred_ccache:u,86,100.00%
vm,native,pm_ict_noslot_disp_held_issq:u,818762,100.00%
vm,native,pm_br_pred_lstack:u,830,100.00%
vm,native,pm_br_mpred_lstack:u,85,100.00%
vm,native,pm_ict_noslot_disp_held_hb_full:u,1259,100.00%
