# host=omarchy-power9 cpu=120 iters=4000000 date=2026-09-16T21:06:29-06:00 load=2.96 5.04 5.91 freq=3800000
A_mulchain,pm_cmplu_stall_fxu:u,584444,0.1461,75.00%
A_ldchain,ns_per_iter,8.471,8.471
A_ldchain,cycles:u,147458211,36.8646,100.00%
A_ldchain,instructions:u,75562918,18.8907,100.00%
A_ldchain,pm_cmplu_stall:u,40602920,10.1507,100.00%
A_ldchain,pm_cmplu_stall_exec_unit:u,752300,0.1881,100.00%
A_ldchain,pm_flush_mpred:u,136469,0.0341,100.00%
A_ldchain,pm_cmplu_stall_st_fwd:u,1229,0.0003,100.00%
A_ldchain,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
A_ldchain,pm_br_mpred_cmpl:u,134205,0.0336,100.00%
A_ldchain,pm_br_pred_ccache:u,909,0.0002,100.00%
A_ldchain,pm_br_mpred_ccache:u,180,0.0000,100.00%
A_ldchain,pm_br_pred_lstack:u,1465,0.0004,100.00%
A_ldchain,pm_br_mpred_lstack:u,240,0.0001,100.00%
A_ldchain,pm_cmplu_stall_bru:u,1010,0.0003,100.00%
A_ldchain,pm_cmplu_stall_lsu:u,39741937,9.9355,100.00%
A_ldchain,pm_st_fwd:u,163,0.0000,25.00%
A_ldchain,pm_flush_lsu:u,66,0.0000,50.00%
A_ldchain,pm_lsu_flush_lhl_shl:u,3,0.0000,75.00%
A_ldchain,pm_cmplu_stall_fxu:u,590667,0.1477,74.00%
F_add_addi,ns_per_iter,8.472,8.472
F_add_addi,cycles:u,147508900,36.8772,100.00%
F_add_addi,instructions:u,107595635,26.8989,100.00%
F_add_addi,pm_cmplu_stall:u,8604804,2.1512,100.00%
F_add_addi,pm_cmplu_stall_exec_unit:u,753056,0.1883,100.00%
F_add_addi,pm_flush_mpred:u,135971,0.0340,100.00%
F_add_addi,pm_cmplu_stall_st_fwd:u,1302,0.0003,100.00%
F_add_addi,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_add_addi,pm_br_mpred_cmpl:u,135140,0.0338,100.00%
F_add_addi,pm_br_pred_ccache:u,909,0.0002,100.00%
F_add_addi,pm_br_mpred_ccache:u,191,0.0000,100.00%
F_add_addi,pm_br_pred_lstack:u,1465,0.0004,100.00%
F_add_addi,pm_br_mpred_lstack:u,227,0.0001,100.00%
F_add_addi,pm_cmplu_stall_bru:u,1156,0.0003,100.00%
F_add_addi,pm_cmplu_stall_lsu:u,7710203,1.9276,100.00%
F_add_addi,pm_st_fwd:u,0,0.0000,25.00%
F_add_addi,pm_flush_lsu:u,54,0.0000,51.00%
F_add_addi,pm_lsu_flush_lhl_shl:u,5,0.0000,75.00%
F_add_addi,pm_cmplu_stall_fxu:u,588666,0.1472,74.00%
F_addc_addze,ns_per_iter,8.471,8.471
F_addc_addze,cycles:u,403551695,100.8879,100.00%
F_addc_addze,instructions:u,307800521,76.9501,100.00%
F_addc_addze,pm_cmplu_stall:u,8490764,2.1227,100.00%
F_addc_addze,pm_cmplu_stall_exec_unit:u,753568,0.1884,100.00%
F_addc_addze,pm_flush_mpred:u,136392,0.0341,100.00%
F_addc_addze,pm_cmplu_stall_st_fwd:u,1218,0.0003,100.00%
F_addc_addze,pm_cmplu_stall_lhs:u,21,0.0000,100.00%
F_addc_addze,pm_br_mpred_cmpl:u,135159,0.0338,100.00%
F_addc_addze,pm_br_pred_ccache:u,909,0.0002,100.00%
F_addc_addze,pm_br_mpred_ccache:u,190,0.0000,100.00%
F_addc_addze,pm_br_pred_lstack:u,1467,0.0004,100.00%
F_addc_addze,pm_br_mpred_lstack:u,239,0.0001,100.00%
F_addc_addze,pm_cmplu_stall_bru:u,1005,0.0003,100.00%
F_addc_addze,pm_cmplu_stall_lsu:u,7721389,1.9303,100.00%
F_addc_addze,pm_st_fwd:u,16,0.0000,24.00%
F_addc_addze,pm_flush_lsu:u,47,0.0000,50.00%
F_addc_addze,pm_lsu_flush_lhl_shl:u,11,0.0000,75.00%
F_addc_addze,pm_cmplu_stall_fxu:u,588296,0.1471,75.00%
F_cmpld_isel,ns_per_iter,12.708,12.708
F_cmpld_isel,cycles:u,227596801,56.8992,100.00%
F_cmpld_isel,instructions:u,155644824,38.9112,100.00%
F_cmpld_isel,pm_cmplu_stall:u,8618762,2.1547,100.00%
F_cmpld_isel,pm_cmplu_stall_exec_unit:u,753514,0.1884,100.00%
F_cmpld_isel,pm_flush_mpred:u,136271,0.0341,100.00%
F_cmpld_isel,pm_cmplu_stall_st_fwd:u,1129,0.0003,100.00%
F_cmpld_isel,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_cmpld_isel,pm_br_mpred_cmpl:u,135040,0.0338,100.00%
F_cmpld_isel,pm_br_pred_ccache:u,909,0.0002,100.00%
F_cmpld_isel,pm_br_mpred_ccache:u,192,0.0000,100.00%
F_cmpld_isel,pm_br_pred_lstack:u,1464,0.0004,100.00%
F_cmpld_isel,pm_br_mpred_lstack:u,212,0.0001,100.00%
F_cmpld_isel,pm_cmplu_stall_bru:u,1122,0.0003,100.00%
F_cmpld_isel,pm_cmplu_stall_lsu:u,7693130,1.9233,100.00%
F_cmpld_isel,pm_st_fwd:u,0,0.0000,24.00%
F_cmpld_isel,pm_flush_lsu:u,64,0.0000,51.00%
F_cmpld_isel,pm_lsu_flush_lhl_shl:u,3,0.0000,75.00%
F_cmpld_isel,pm_cmplu_stall_fxu:u,586563,0.1466,75.00%
F_mfocrf_rt,ns_per_iter,27.536,27.536
F_mfocrf_rt,cycles:u,451777074,112.9443,100.00%
F_mfocrf_rt,instructions:u,219710384,54.9276,100.00%
F_mfocrf_rt,pm_cmplu_stall:u,104675334,26.1688,100.00%
F_mfocrf_rt,pm_cmplu_stall_exec_unit:u,96851273,24.2128,100.00%
F_mfocrf_rt,pm_flush_mpred:u,136180,0.0340,100.00%
F_mfocrf_rt,pm_cmplu_stall_st_fwd:u,1079,0.0003,100.00%
F_mfocrf_rt,pm_cmplu_stall_lhs:u,22,0.0000,100.00%
F_mfocrf_rt,pm_br_mpred_cmpl:u,135403,0.0339,100.00%
F_mfocrf_rt,pm_br_pred_ccache:u,909,0.0002,100.00%
F_mfocrf_rt,pm_br_mpred_ccache:u,190,0.0000,100.00%
F_mfocrf_rt,pm_br_pred_lstack:u,1464,0.0004,100.00%
F_mfocrf_rt,pm_br_mpred_lstack:u,226,0.0001,100.00%
F_mfocrf_rt,pm_cmplu_stall_bru:u,1040,0.0003,100.00%
F_mfocrf_rt,pm_cmplu_stall_lsu:u,7722335,1.9306,100.00%
F_mfocrf_rt,pm_st_fwd:u,0,0.0000,25.00%
F_mfocrf_rt,pm_flush_lsu:u,35,0.0000,50.00%
F_mfocrf_rt,pm_lsu_flush_lhl_shl:u,5,0.0000,75.00%
F_mfocrf_rt,pm_cmplu_stall_fxu:u,96705267,24.1763,74.00%
F_mfcr_rt,ns_per_iter,36.487,36.487
F_mfcr_rt,cycles:u,587146464,146.7866,100.00%
F_mfcr_rt,instructions:u,219710427,54.9276,100.00%
F_mfcr_rt,pm_cmplu_stall:u,72577562,18.1444,100.00%
F_mfcr_rt,pm_cmplu_stall_exec_unit:u,57774854,14.4437,100.00%
